date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:31:29	430/430	---M-Z	200	added ('OK')	text/plain	etag:%220d9e9bc7324d71:0%22	https://headtohealth.gov.au/robots.txt		(from )
12:31:31	594030/594030	---M-Z	200	added ('OK')	text/html	date:Sun,%2023%20May%202021%2006:59:49%20GMT	https://headtohealth.gov.au/	C:/My%20Web%20Sites/Hackon%20Project/headtohealth.gov.au/index.html	(from )
12:31:31	19359/19359	---M-Z	200	added ('OK')	text/javascript	date:Sun,%2023%20May%202021%2006:59:51%20GMT	https://use.typekit.net/ust6had.js	C:/My%20Web%20Sites/Hackon%20Project/use.typekit.net/ust6had.js	(from https://headtohealth.gov.au/)
12:31:33	1246/1246	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2023%20May%202021%2006:59:52%20GMT	https://headtohealth.gov.au/bundles/dmhg/scripts/analytics?v=CMS41q69xPOSwv16SWDt0f1Cswki0nYv7ZWf-imXOgo1	C:/My%20Web%20Sites/Hackon%20Project/headtohealth.gov.au/bundles/dmhg/scripts/analytics7cec	(from https://headtohealth.gov.au/)
12:31:34	1495/1495	---M--	200	added ('OK')	image/png	etag:%2207f87ba7324d71:0%22	https://headtohealth.gov.au/apple-touch-icon.png	C:/My%20Web%20Sites/Hackon%20Project/headtohealth.gov.au/apple-touch-icon.png	(from https://headtohealth.gov.au/)
12:31:36	1063/1063	---M--	200	added ('OK')	image/png	etag:%220d9e9bc7324d71:0%22	https://headtohealth.gov.au/favicon-32x32.png	C:/My%20Web%20Sites/Hackon%20Project/headtohealth.gov.au/favicon-32x32.png	(from https://headtohealth.gov.au/)
12:31:41	812/812	---M--	200	added ('OK')	image/png	etag:%220d9e9bc7324d71:0%22	https://headtohealth.gov.au/favicon-16x16.png	C:/My%20Web%20Sites/Hackon%20Project/headtohealth.gov.au/favicon-16x16.png	(from https://headtohealth.gov.au/)
12:31:45	420/420	---M-Z	200	added ('OK')	application/json	etag:%220d9e9bc7324d71:0%22	https://headtohealth.gov.au/manifest.json	C:/My%20Web%20Sites/Hackon%20Project/headtohealth.gov.au/manifest.json	(from https://headtohealth.gov.au/)
12:31:47	674752/674752	---M-Z	200	added ('OK')	text/css	date:Sun,%2023%20May%202021%2007:00:05%20GMT	https://headtohealth.gov.au/bundles/dmhg/styles/common?v=_ZBP-tnLDBB6ZwsY8bjnXigQ3hgjDxftnW2d4Qiifk01	C:/My%20Web%20Sites/Hackon%20Project/headtohealth.gov.au/bundles/dmhg/styles/common219f.css	(from https://headtohealth.gov.au/)
12:31:49	61262/61262	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2023%20May%202021%2007:00:08%20GMT	https://headtohealth.gov.au/bundles/dmhg/scripts/common?v=-ZNKlIGJTtXLxkNbqFdrxKfKzPIjBXkT5AEdv6MmIrk1	C:/My%20Web%20Sites/Hackon%20Project/headtohealth.gov.au/bundles/dmhg/scripts/common94e3	(from https://headtohealth.gov.au/)
12:31:49	668901/668901	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2023%20May%202021%2007:00:07%20GMT	https://headtohealth.gov.au/bundles/dmhg/scripts/thirdparty?v=psz3_tlUUcX_O1HzTDCo0tnxIJAmLB9FdCFX-Ny06wQ1	C:/My%20Web%20Sites/Hackon%20Project/headtohealth.gov.au/bundles/dmhg/scripts/thirdpartyaad2	(from https://headtohealth.gov.au/)
12:31:50	94624/94624	---M-Z	200	added ('OK')	application/x-javascript	date:Sun,%2023%20May%202021%2007:00:09%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/Hackon%20Project/connect.facebook.net/en_US/fbevents.js	(from https://headtohealth.gov.au/)
12:31:53	603858/603858	---M-Z	200	added ('OK')	text/html	date:Sun,%2023%20May%202021%2007:00:11%20GMT	https://headtohealth.gov.au/covid-19-support/covid-19-support	C:/My%20Web%20Sites/Hackon%20Project/headtohealth.gov.au/covid-19-support/covid-19-support.html	(from https://headtohealth.gov.au/)
12:31:55	432775/432775	---M-Z	200	added ('OK')	text/html	date:Sun,%2023%20May%202021%2007:00:14%20GMT	https://headtohealth.gov.au/Home/Accessibility%20and%20language	C:/My%20Web%20Sites/Hackon%20Project/headtohealth.gov.au/Home/Accessibility%20and%20language.html	(from https://headtohealth.gov.au/)
12:31:59	504458/504458	---M-Z	200	added ('OK')	text/html	date:Sun,%2023%20May%202021%2007:00:17%20GMT	https://headtohealth.gov.au/covid-19-support/impacts-on-everyday-life/staying-connected	C:/My%20Web%20Sites/Hackon%20Project/headtohealth.gov.au/covid-19-support/impacts-on-everyday-life/staying-connected.html	(from https://headtohealth.gov.au/)
12:32:01	459738/459738	---M-Z	200	added ('OK')	text/html	date:Sun,%2023%20May%202021%2007:00:18%20GMT	https://headtohealth.gov.au/meaningful-life/connectedness/connectedness	C:/My%20Web%20Sites/Hackon%20Project/headtohealth.gov.au/meaningful-life/connectedness/connectedness.html	(from https://headtohealth.gov.au/)
12:32:03	457414/457414	---M-Z	200	added ('OK')	text/html	date:Sun,%2023%20May%202021%2007:00:21%20GMT	https://headtohealth.gov.au/search-resources	C:/My%20Web%20Sites/Hackon%20Project/headtohealth.gov.au/search-resources.html	(from https://headtohealth.gov.au/)
12:32:05	302891/302891	---M--	200	added ('OK')	application/pdf	etag:36e62da5af5f463899fd6e84dae14d7a	https://headtohealth.gov.au/-/media/dmhg/requestresources/service-provider-info-pack_v3.ashx?rev=25a9c1f2c58840749ddd6df6e87e067f	C:/My%20Web%20Sites/Hackon%20Project/headtohealth.gov.au/-/media/dmhg/requestresources/Service%20Provider%20Info%20Pack_v38929.pdf	(from https://headtohealth.gov.au/)
12:32:07	421092/421092	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2023%20May%202021%2007:00:25%20GMT	https://headtohealth.gov.au/service-providers	C:/My%20Web%20Sites/Hackon%20Project/headtohealth.gov.au/service-providers.10.delayed	(from https://headtohealth.gov.au/)
12:32:10	555710/555710	---M-Z	200	added ('OK')	text/html	date:Sun,%2023%20May%202021%2007:00:27%20GMT	https://headtohealth.gov.au/service-providers/explore-all-service-providers	C:/My%20Web%20Sites/Hackon%20Project/headtohealth.gov.au/service-providers/explore-all-service-providers.html	(from https://headtohealth.gov.au/)
12:32:12	435284/435284	---M-Z	200	added ('OK')	text/html	date:Sun,%2023%20May%202021%2007:00:30%20GMT	https://headtohealth.gov.au/saved-resources	C:/My%20Web%20Sites/Hackon%20Project/headtohealth.gov.au/saved-resources.html	(from https://headtohealth.gov.au/)
12:32:16	0/-1	---M--	301	error ('')			https://headtohealth.gov.au/service-providers	C:/My%20Web%20Sites/Hackon%20Project/headtohealth.gov.au/service-providers.14.delayed	(from https://headtohealth.gov.au/)
12:32:16	425410/425410	---M-Z	200	added ('OK')	text/html	date:Sun,%2023%20May%202021%2007:00:35%20GMT	https://headtohealth.gov.au/resources/black-dog-institute---hp---head-to-health-explainer-video-for-gps	C:/My%20Web%20Sites/Hackon%20Project/headtohealth.gov.au/resources/black-dog-institute---hp---head-to-health-explainer-video-for-gps.html	(from https://headtohealth.gov.au/)
12:32:18	457474/457474	---M-Z	200	added ('OK')	text/html	date:Sun,%2023%20May%202021%2007:00:37%20GMT	https://headtohealth.gov.au/search-resources?search=Anxiety%20and%20Stress	C:/My%20Web%20Sites/Hackon%20Project/headtohealth.gov.au/search-resources7130.html	(from https://headtohealth.gov.au/)
